Evaluation over 1000 episodes
Success rate: 73.20%
Average episode length: 43.93 steps

Episode 560: steps=22, success=True
Episode 561: steps=85, success=True
Episode 562: steps=100, success=False
Episode 563: steps=39, success=True
Episode 564: steps=61, success=True
Episode 565: steps=16, success=True
Episode 566: steps=16, success=True
Episode 567: steps=37, success=True
Episode 568: steps=13, success=True
Episode 569: steps=65, success=True
Episode 570: steps=80, success=True
Episode 571: steps=13, success=True
Episode 572: steps=89, success=True
Episode 573: steps=100, success=False
Episode 574: steps=28, success=True
Episode 575: steps=16, success=True
Episode 576: steps=55, success=True
Episode 577: steps=53, success=False
Episode 578: steps=21, success=True
Episode 579: steps=52, success=True
Episode 580: steps=15, success=True
Episode 581: steps=88, success=True
Episode 582: steps=38, success=True
Episode 583: steps=19, success=True
Episode 584: steps=14, success=False
Episode 585: steps=19, success=True
Episode 586: steps=8, success=True
Episode 587: steps=100, success=False
Episode 588: steps=58, success=False
Episode 589: steps=24, success=True
Episode 590: steps=67, success=True
Episode 591: steps=69, success=True
Episode 592: steps=45, success=False
Episode 593: steps=58, success=True
Episode 594: steps=66, success=True
Episode 595: steps=100, success=False
Episode 596: steps=12, success=False
Episode 597: steps=57, success=False
Episode 598: steps=13, success=True
Episode 599: steps=83, success=True
Episode 600: steps=19, success=True
Episode 601: steps=14, success=True
Episode 602: steps=29, success=True
Episode 603: steps=77, success=True
Episode 604: steps=21, success=True
Episode 605: steps=100, success=False
Episode 606: steps=77, success=True
Episode 607: steps=28, success=True
Episode 608: steps=100, success=False
Episode 609: steps=46, success=True
Episode 610: steps=71, success=True
Episode 611: steps=100, success=False
Episode 612: steps=100, success=False
Episode 613: steps=80, success=False
Episode 614: steps=11, success=True
Episode 615: steps=22, success=True
Episode 616: steps=40, success=True
Episode 617: steps=100, success=True
Episode 618: steps=48, success=True
Episode 619: steps=100, success=False
Episode 620: steps=93, success=True
Episode 621: steps=72, success=True
Episode 622: steps=20, success=False
Episode 623: steps=100, success=False
Episode 624: steps=21, success=False
Episode 625: steps=12, success=True
Episode 626: steps=8, success=False
Episode 627: steps=39, success=True
Episode 628: steps=88, success=True
Episode 629: steps=39, success=True
Episode 630: steps=25, success=True
Episode 631: steps=50, success=True
Episode 632: steps=49, success=True
Episode 633: steps=52, success=True
Episode 634: steps=13, success=True
Episode 635: steps=18, success=True
Episode 636: steps=61, success=False
Episode 637: steps=69, success=True
Episode 638: steps=27, success=False
Episode 639: steps=100, success=False
Episode 640: steps=31, success=True
Episode 641: steps=24, success=True
Episode 642: steps=19, success=True
Episode 643: steps=33, success=True
Episode 644: steps=43, success=True
Episode 645: steps=100, success=False
Episode 646: steps=26, success=True
Episode 647: steps=39, success=True
Episode 648: steps=20, success=True
Episode 649: steps=30, success=True
Episode 650: steps=42, success=True
Episode 651: steps=87, success=True
Episode 652: steps=22, success=True
Episode 653: steps=18, success=True
Episode 654: steps=100, success=False
Episode 655: steps=26, success=True
Episode 656: steps=33, success=True
Episode 657: steps=100, success=False
Episode 658: steps=48, success=True
Episode 659: steps=19, success=True
Episode 660: steps=31, success=True
Episode 661: steps=65, success=True
Episode 662: steps=15, success=True
Episode 663: steps=18, success=True
Episode 664: steps=33, success=True
Episode 665: steps=33, success=True
Episode 666: steps=17, success=False
Episode 667: steps=27, success=True
Episode 668: steps=22, success=True
Episode 669: steps=15, success=True
Episode 670: steps=56, success=True
Episode 671: steps=16, success=True
Episode 672: steps=9, success=False
Episode 673: steps=59, success=True
Episode 674: steps=10, success=False
Episode 675: steps=36, success=True
Episode 676: steps=22, success=True
Episode 677: steps=46, success=True
Episode 678: steps=22, success=True
Episode 679: steps=99, success=True
Episode 680: steps=21, success=True
Episode 681: steps=39, success=True
Episode 682: steps=29, success=True
Episode 683: steps=32, success=True
Episode 684: steps=84, success=True
Episode 685: steps=72, success=True
Episode 686: steps=100, success=False
Episode 687: steps=8, success=False
Episode 688: steps=23, success=True
Episode 689: steps=10, success=True
Episode 690: steps=10, success=True
Episode 691: steps=19, success=True
Episode 692: steps=8, success=False
Episode 693: steps=41, success=True
Episode 694: steps=32, success=True
Episode 695: steps=18, success=True
Episode 696: steps=58, success=True
Episode 697: steps=9, success=True
Episode 698: steps=67, success=True
Episode 699: steps=21, success=True
Episode 700: steps=15, success=True
Episode 701: steps=76, success=True
Episode 702: steps=52, success=True
Episode 703: steps=38, success=True
Episode 704: steps=100, success=False
Episode 705: steps=71, success=True
Episode 706: steps=52, success=True
Episode 707: steps=63, success=True
Episode 708: steps=94, success=True
Episode 709: steps=22, success=True
Episode 710: steps=30, success=False
Episode 711: steps=24, success=True
Episode 712: steps=56, success=True
Episode 713: steps=73, success=True
Episode 714: steps=29, success=False
Episode 715: steps=100, success=False
Episode 716: steps=57, success=True
Episode 717: steps=27, success=True
Episode 718: steps=100, success=False
Episode 719: steps=37, success=True
Episode 720: steps=86, success=True
Episode 721: steps=67, success=True
Episode 722: steps=68, success=True
Episode 723: steps=7, success=True
Episode 724: steps=100, success=False
Episode 725: steps=26, success=True
Episode 726: steps=12, success=True
Episode 727: steps=27, success=True
Episode 728: steps=23, success=True
Episode 729: steps=58, success=False
Episode 730: steps=16, success=True
Episode 731: steps=7, success=True
Episode 732: steps=100, success=False
Episode 733: steps=44, success=True
Episode 734: steps=15, success=True
Episode 735: steps=39, success=True
Episode 736: steps=10, success=False
Episode 737: steps=16, success=True
Episode 738: steps=17, success=True
Episode 739: steps=10, success=True
Episode 740: steps=15, success=True
Episode 741: steps=100, success=False
Episode 742: steps=13, success=True
Episode 743: steps=68, success=False
Episode 744: steps=14, success=True
Episode 745: steps=28, success=False
Episode 746: steps=43, success=True
Episode 747: steps=73, success=True
Episode 748: steps=100, success=False
Episode 749: steps=34, success=True
Episode 750: steps=56, success=True
Episode 751: steps=90, success=True
Episode 752: steps=35, success=True
Episode 753: steps=28, success=True
Episode 754: steps=20, success=True
Episode 755: steps=22, success=True
Episode 756: steps=100, success=False
Episode 757: steps=9, success=True
Episode 758: steps=20, success=True
Episode 759: steps=19, success=True
Episode 760: steps=100, success=False
Episode 761: steps=92, success=True
Episode 762: steps=19, success=True
Episode 763: steps=14, success=False
Episode 764: steps=25, success=True
Episode 765: steps=57, success=True
Episode 766: steps=11, success=False
Episode 767: steps=13, success=False
Episode 768: steps=9, success=True
Episode 769: steps=69, success=True
Episode 770: steps=15, success=True
Episode 771: steps=17, success=True
Episode 772: steps=42, success=True
Episode 773: steps=67, success=True
Episode 774: steps=32, success=True
Episode 775: steps=100, success=False
Episode 776: steps=9, success=True
Episode 777: steps=83, success=True
Episode 778: steps=29, success=False
Episode 779: steps=100, success=False
Episode 780: steps=83, success=True
Episode 781: steps=84, success=True
Episode 782: steps=16, success=True
Episode 783: steps=13, success=True
Episode 784: steps=18, success=True
Episode 785: steps=13, success=True
Episode 786: steps=14, success=True
Episode 787: steps=15, success=True
Episode 788: steps=42, success=True
Episode 789: steps=38, success=True
Episode 790: steps=38, success=False
Episode 791: steps=100, success=True
Episode 792: steps=54, success=False
Episode 793: steps=27, success=True
Episode 794: steps=36, success=True
Episode 795: steps=53, success=False
Episode 796: steps=61, success=True
Episode 797: steps=13, success=False
Episode 798: steps=38, success=True
Episode 799: steps=15, success=True
Episode 800: steps=16, success=True
Episode 801: steps=67, success=False
Episode 802: steps=41, success=True
Episode 803: steps=28, success=True
Episode 804: steps=63, success=True
Episode 805: steps=34, success=True
Episode 806: steps=21, success=False
Episode 807: steps=61, success=True
Episode 808: steps=15, success=True
Episode 809: steps=65, success=False
Episode 810: steps=41, success=True
Episode 811: steps=100, success=False
Episode 812: steps=11, success=False
Episode 813: steps=33, success=True
Episode 814: steps=17, success=True
Episode 815: steps=43, success=True
Episode 816: steps=12, success=True
Episode 817: steps=46, success=True
Episode 818: steps=18, success=True
Episode 819: steps=54, success=True
Episode 820: steps=25, success=True
Episode 821: steps=100, success=False
Episode 822: steps=17, success=True
Episode 823: steps=29, success=True
Episode 824: steps=53, success=True
Episode 825: steps=96, success=True
Episode 826: steps=19, success=True
Episode 827: steps=9, success=False
Episode 828: steps=26, success=False
Episode 829: steps=39, success=False
Episode 830: steps=24, success=True
